Epoch 1/1000, Train Loss: 0.1843, Train Accuracy: 0.7066, Train F1: 0.6314, Validation Loss: 0.1618, Validation Accuracy: 0.7469, Validation F1: 0.6801
Epoch 2/1000, Train Loss: 0.1577, Train Accuracy: 0.7645, Train F1: 0.7107, Validation Loss: 0.1461, Validation Accuracy: 0.7800, Validation F1: 0.7381
Epoch 3/1000, Train Loss: 0.1464, Train Accuracy: 0.7880, Train F1: 0.7496, Validation Loss: 0.1349, Validation Accuracy: 0.7998, Validation F1: 0.7710
Epoch 4/1000, Train Loss: 0.1377, Train Accuracy: 0.8052, Train F1: 0.7775, Validation Loss: 0.1272, Validation Accuracy: 0.8178, Validation F1: 0.7969
Epoch 5/1000, Train Loss: 0.1318, Train Accuracy: 0.8136, Train F1: 0.7918, Validation Loss: 0.1210, Validation Accuracy: 0.8338, Validation F1: 0.8173
Epoch 6/1000, Train Loss: 0.1276, Train Accuracy: 0.8224, Train F1: 0.8042, Validation Loss: 0.1165, Validation Accuracy: 0.8395, Validation F1: 0.8246
Epoch 7/1000, Train Loss: 0.1236, Train Accuracy: 0.8244, Train F1: 0.8080, Validation Loss: 0.1132, Validation Accuracy: 0.8470, Validation F1: 0.8333
Epoch 8/1000, Train Loss: 0.1218, Train Accuracy: 0.8283, Train F1: 0.8129, Validation Loss: 0.1104, Validation Accuracy: 0.8489, Validation F1: 0.8358
Epoch 9/1000, Train Loss: 0.1184, Train Accuracy: 0.8340, Train F1: 0.8198, Validation Loss: 0.1080, Validation Accuracy: 0.8470, Validation F1: 0.8338
Epoch 10/1000, Train Loss: 0.1175, Train Accuracy: 0.8344, Train F1: 0.8208, Validation Loss: 0.1068, Validation Accuracy: 0.8451, Validation F1: 0.8328
Epoch 11/1000, Train Loss: 0.1144, Train Accuracy: 0.8385, Train F1: 0.8254, Validation Loss: 0.1050, Validation Accuracy: 0.8527, Validation F1: 0.8406
Epoch 12/1000, Train Loss: 0.1128, Train Accuracy: 0.8401, Train F1: 0.8277, Validation Loss: 0.1043, Validation Accuracy: 0.8499, Validation F1: 0.8386
Epoch 13/1000, Train Loss: 0.1123, Train Accuracy: 0.8431, Train F1: 0.8310, Validation Loss: 0.1028, Validation Accuracy: 0.8536, Validation F1: 0.8430
Epoch 14/1000, Train Loss: 0.1112, Train Accuracy: 0.8421, Train F1: 0.8300, Validation Loss: 0.1018, Validation Accuracy: 0.8546, Validation F1: 0.8435
Epoch 15/1000, Train Loss: 0.1099, Train Accuracy: 0.8457, Train F1: 0.8339, Validation Loss: 0.1009, Validation Accuracy: 0.8555, Validation F1: 0.8449
Epoch 16/1000, Train Loss: 0.1094, Train Accuracy: 0.8447, Train F1: 0.8326, Validation Loss: 0.1006, Validation Accuracy: 0.8574, Validation F1: 0.8468
Epoch 17/1000, Train Loss: 0.1085, Train Accuracy: 0.8465, Train F1: 0.8351, Validation Loss: 0.0994, Validation Accuracy: 0.8584, Validation F1: 0.8480
Epoch 18/1000, Train Loss: 0.1074, Train Accuracy: 0.8499, Train F1: 0.8388, Validation Loss: 0.0987, Validation Accuracy: 0.8584, Validation F1: 0.8486
Epoch 19/1000, Train Loss: 0.1071, Train Accuracy: 0.8505, Train F1: 0.8395, Validation Loss: 0.0984, Validation Accuracy: 0.8593, Validation F1: 0.8497
Epoch 20/1000, Train Loss: 0.1068, Train Accuracy: 0.8472, Train F1: 0.8359, Validation Loss: 0.0977, Validation Accuracy: 0.8659, Validation F1: 0.8562
Epoch 21/1000, Train Loss: 0.1056, Train Accuracy: 0.8519, Train F1: 0.8414, Validation Loss: 0.0976, Validation Accuracy: 0.8612, Validation F1: 0.8510
Epoch 22/1000, Train Loss: 0.1053, Train Accuracy: 0.8520, Train F1: 0.8415, Validation Loss: 0.0966, Validation Accuracy: 0.8631, Validation F1: 0.8535
Epoch 23/1000, Train Loss: 0.1045, Train Accuracy: 0.8529, Train F1: 0.8427, Validation Loss: 0.0956, Validation Accuracy: 0.8640, Validation F1: 0.8555
Epoch 24/1000, Train Loss: 0.1032, Train Accuracy: 0.8526, Train F1: 0.8423, Validation Loss: 0.0957, Validation Accuracy: 0.8621, Validation F1: 0.8528
Epoch 25/1000, Train Loss: 0.1035, Train Accuracy: 0.8537, Train F1: 0.8433, Validation Loss: 0.0948, Validation Accuracy: 0.8687, Validation F1: 0.8600
Epoch 26/1000, Train Loss: 0.1034, Train Accuracy: 0.8537, Train F1: 0.8437, Validation Loss: 0.0947, Validation Accuracy: 0.8659, Validation F1: 0.8568
Epoch 27/1000, Train Loss: 0.1029, Train Accuracy: 0.8557, Train F1: 0.8453, Validation Loss: 0.0936, Validation Accuracy: 0.8678, Validation F1: 0.8584
Epoch 28/1000, Train Loss: 0.1027, Train Accuracy: 0.8550, Train F1: 0.8451, Validation Loss: 0.0937, Validation Accuracy: 0.8650, Validation F1: 0.8555
Epoch 29/1000, Train Loss: 0.1015, Train Accuracy: 0.8542, Train F1: 0.8444, Validation Loss: 0.0934, Validation Accuracy: 0.8678, Validation F1: 0.8587
Epoch 30/1000, Train Loss: 0.1023, Train Accuracy: 0.8553, Train F1: 0.8453, Validation Loss: 0.0930, Validation Accuracy: 0.8678, Validation F1: 0.8590
Epoch 31/1000, Train Loss: 0.1016, Train Accuracy: 0.8559, Train F1: 0.8460, Validation Loss: 0.0925, Validation Accuracy: 0.8716, Validation F1: 0.8627
Epoch 32/1000, Train Loss: 0.0999, Train Accuracy: 0.8578, Train F1: 0.8482, Validation Loss: 0.0922, Validation Accuracy: 0.8706, Validation F1: 0.8619
Epoch 33/1000, Train Loss: 0.1009, Train Accuracy: 0.8573, Train F1: 0.8477, Validation Loss: 0.0918, Validation Accuracy: 0.8725, Validation F1: 0.8632
Epoch 34/1000, Train Loss: 0.1001, Train Accuracy: 0.8578, Train F1: 0.8483, Validation Loss: 0.0914, Validation Accuracy: 0.8687, Validation F1: 0.8597
Epoch 35/1000, Train Loss: 0.1001, Train Accuracy: 0.8590, Train F1: 0.8498, Validation Loss: 0.0912, Validation Accuracy: 0.8716, Validation F1: 0.8628
Epoch 36/1000, Train Loss: 0.0993, Train Accuracy: 0.8590, Train F1: 0.8498, Validation Loss: 0.0908, Validation Accuracy: 0.8744, Validation F1: 0.8665
Epoch 37/1000, Train Loss: 0.0996, Train Accuracy: 0.8589, Train F1: 0.8496, Validation Loss: 0.0906, Validation Accuracy: 0.8725, Validation F1: 0.8641
Epoch 38/1000, Train Loss: 0.0990, Train Accuracy: 0.8601, Train F1: 0.8510, Validation Loss: 0.0905, Validation Accuracy: 0.8716, Validation F1: 0.8620
Epoch 39/1000, Train Loss: 0.0992, Train Accuracy: 0.8603, Train F1: 0.8509, Validation Loss: 0.0906, Validation Accuracy: 0.8725, Validation F1: 0.8641
Epoch 40/1000, Train Loss: 0.0983, Train Accuracy: 0.8604, Train F1: 0.8513, Validation Loss: 0.0903, Validation Accuracy: 0.8744, Validation F1: 0.8661
Epoch 41/1000, Train Loss: 0.0976, Train Accuracy: 0.8633, Train F1: 0.8544, Validation Loss: 0.0899, Validation Accuracy: 0.8735, Validation F1: 0.8649
Epoch 42/1000, Train Loss: 0.0969, Train Accuracy: 0.8627, Train F1: 0.8538, Validation Loss: 0.0896, Validation Accuracy: 0.8735, Validation F1: 0.8649
Epoch 43/1000, Train Loss: 0.0969, Train Accuracy: 0.8632, Train F1: 0.8545, Validation Loss: 0.0893, Validation Accuracy: 0.8754, Validation F1: 0.8675
Epoch 44/1000, Train Loss: 0.0981, Train Accuracy: 0.8612, Train F1: 0.8524, Validation Loss: 0.0890, Validation Accuracy: 0.8763, Validation F1: 0.8686
Epoch 45/1000, Train Loss: 0.0963, Train Accuracy: 0.8648, Train F1: 0.8563, Validation Loss: 0.0887, Validation Accuracy: 0.8763, Validation F1: 0.8680
Epoch 46/1000, Train Loss: 0.0964, Train Accuracy: 0.8649, Train F1: 0.8562, Validation Loss: 0.0888, Validation Accuracy: 0.8763, Validation F1: 0.8677
Epoch 47/1000, Train Loss: 0.0965, Train Accuracy: 0.8634, Train F1: 0.8545, Validation Loss: 0.0886, Validation Accuracy: 0.8763, Validation F1: 0.8682
Epoch 48/1000, Train Loss: 0.0948, Train Accuracy: 0.8670, Train F1: 0.8583, Validation Loss: 0.0883, Validation Accuracy: 0.8772, Validation F1: 0.8695
Epoch 49/1000, Train Loss: 0.0968, Train Accuracy: 0.8638, Train F1: 0.8551, Validation Loss: 0.0883, Validation Accuracy: 0.8782, Validation F1: 0.8698
Epoch 50/1000, Train Loss: 0.0953, Train Accuracy: 0.8652, Train F1: 0.8566, Validation Loss: 0.0879, Validation Accuracy: 0.8744, Validation F1: 0.8663
Epoch 51/1000, Train Loss: 0.0955, Train Accuracy: 0.8647, Train F1: 0.8561, Validation Loss: 0.0876, Validation Accuracy: 0.8754, Validation F1: 0.8674
Epoch 52/1000, Train Loss: 0.0948, Train Accuracy: 0.8674, Train F1: 0.8591, Validation Loss: 0.0873, Validation Accuracy: 0.8772, Validation F1: 0.8685
Epoch 53/1000, Train Loss: 0.0949, Train Accuracy: 0.8660, Train F1: 0.8575, Validation Loss: 0.0877, Validation Accuracy: 0.8782, Validation F1: 0.8697
Epoch 54/1000, Train Loss: 0.0955, Train Accuracy: 0.8649, Train F1: 0.8563, Validation Loss: 0.0874, Validation Accuracy: 0.8782, Validation F1: 0.8702
Epoch 55/1000, Train Loss: 0.0942, Train Accuracy: 0.8674, Train F1: 0.8591, Validation Loss: 0.0869, Validation Accuracy: 0.8763, Validation F1: 0.8685
Epoch 56/1000, Train Loss: 0.0951, Train Accuracy: 0.8640, Train F1: 0.8555, Validation Loss: 0.0873, Validation Accuracy: 0.8763, Validation F1: 0.8692
Epoch 57/1000, Train Loss: 0.0940, Train Accuracy: 0.8684, Train F1: 0.8601, Validation Loss: 0.0868, Validation Accuracy: 0.8801, Validation F1: 0.8721
Epoch 58/1000, Train Loss: 0.0944, Train Accuracy: 0.8658, Train F1: 0.8576, Validation Loss: 0.0866, Validation Accuracy: 0.8763, Validation F1: 0.8686
Epoch 59/1000, Train Loss: 0.0935, Train Accuracy: 0.8701, Train F1: 0.8620, Validation Loss: 0.0868, Validation Accuracy: 0.8791, Validation F1: 0.8718
Epoch 60/1000, Train Loss: 0.0941, Train Accuracy: 0.8676, Train F1: 0.8593, Validation Loss: 0.0863, Validation Accuracy: 0.8801, Validation F1: 0.8728
Epoch 61/1000, Train Loss: 0.0932, Train Accuracy: 0.8703, Train F1: 0.8624, Validation Loss: 0.0861, Validation Accuracy: 0.8791, Validation F1: 0.8720
Epoch 62/1000, Train Loss: 0.0930, Train Accuracy: 0.8675, Train F1: 0.8593, Validation Loss: 0.0856, Validation Accuracy: 0.8791, Validation F1: 0.8715
Epoch 63/1000, Train Loss: 0.0927, Train Accuracy: 0.8697, Train F1: 0.8619, Validation Loss: 0.0860, Validation Accuracy: 0.8801, Validation F1: 0.8732
Epoch 64/1000, Train Loss: 0.0927, Train Accuracy: 0.8714, Train F1: 0.8637, Validation Loss: 0.0858, Validation Accuracy: 0.8839, Validation F1: 0.8763
Epoch 65/1000, Train Loss: 0.0931, Train Accuracy: 0.8690, Train F1: 0.8612, Validation Loss: 0.0853, Validation Accuracy: 0.8810, Validation F1: 0.8739
Epoch 66/1000, Train Loss: 0.0929, Train Accuracy: 0.8685, Train F1: 0.8602, Validation Loss: 0.0854, Validation Accuracy: 0.8810, Validation F1: 0.8733
Epoch 67/1000, Train Loss: 0.0927, Train Accuracy: 0.8697, Train F1: 0.8618, Validation Loss: 0.0855, Validation Accuracy: 0.8829, Validation F1: 0.8758
Epoch 68/1000, Train Loss: 0.0921, Train Accuracy: 0.8718, Train F1: 0.8640, Validation Loss: 0.0853, Validation Accuracy: 0.8801, Validation F1: 0.8727
