ID,Ground Truth,Predicted Value
31436,0,2
26201,2,2
1046,1,2
80944,0,2
72832,1,2
4737,2,2
50531,0,2
15814,1,2
65074,2,2
42461,1,2
49945,1,2
69775,2,0
43336,2,2
63821,1,2
80474,1,0
28270,1,2
80388,1,2
26390,1,0
34574,2,2
66848,2,2
60619,1,2
24316,2,0
70068,2,2
61259,1,1
6601,2,2
64828,1,2
68821,1,2
59974,1,0
50307,2,2
64787,2,2
75300,1,0
12600,1,2
40407,1,2
41645,1,2
50785,1,2
74773,0,1
61197,1,2
64816,1,0
78796,0,2
53965,1,2
19146,0,2
64279,0,1
46665,1,2
41508,1,2
33723,0,2
8402,1,2
33964,2,2
9147,0,2
30147,1,2
2870,1,2
3861,1,2
11214,1,2
37399,1,2
56279,1,2
40883,1,2
54088,1,2
63490,1,2
3346,1,2
56758,1,2
22707,1,2
56202,1,2
73985,1,2
76078,0,2
6978,1,2
72749,2,2
37867,1,2
68489,1,2
45451,1,2
63357,0,2
36582,1,2
71601,1,2
78183,1,0
56223,1,2
79468,2,2
23555,1,0
75726,1,2
23834,1,2
69149,2,2
76400,1,2
83010,1,2
35922,1,2
70501,2,0
67432,1,2
27782,1,2
46078,1,2
47712,1,2
50563,2,2
59326,1,2
72299,1,0
71206,1,2
8940,1,2
61135,2,2
47438,2,2
78296,2,2
49472,1,2
52138,2,0
62031,1,2
9136,1,2
60961,1,2
55583,1,2
45458,2,0
41771,1,2
70065,1,2
82926,1,2
3705,1,2
7426,1,0
56144,1,2
81684,1,0
27621,0,1
46818,1,2
8720,1,2
58989,1,2
50111,1,2
65188,1,0
70273,1,2
6787,0,2
6240,0,0
30414,1,2
29354,1,0
18182,2,2
14876,2,0
81750,2,2
69870,2,2
14841,1,2
36259,1,2
73443,0,2
1249,1,2
32458,1,2
68006,2,0
69239,2,1
8626,1,1
67971,1,2
39716,1,0
52379,1,2
23773,1,2
22885,1,2
68146,1,2
15393,2,2
75470,0,2
57055,1,2
79540,2,2
27168,1,1
18826,1,0
61678,2,2
67087,0,2
31290,2,2
50420,1,2
66298,0,2
80823,2,2
12161,2,0
51221,2,0
48451,1,2
39155,1,2
23944,1,2
84129,1,2
8187,2,2
14640,2,2
34762,1,0
62424,0,2
50900,0,2
36692,1,0
9166,1,2
6723,1,2
73868,2,2
66641,0,2
37823,1,2
56854,2,2
68444,1,2
1515,1,2
79681,2,2
77942,2,2
53367,1,2
37438,1,2
23849,1,2
48269,1,2
38754,1,0
28697,0,2
24492,1,2
10190,1,0
11006,1,2
24456,1,2
29398,2,2
58186,1,2
69688,1,2
42110,2,2
38000,1,2
9627,1,2
30705,0,2
38373,0,1
25634,1,2
37670,2,2
22935,1,2
68180,1,2
11132,1,2
40996,2,2
60328,1,0
1811,2,2
59616,1,2
21020,0,2
48516,1,2
12115,1,2
7807,2,2
4260,1,2
64778,0,1
12199,1,1
77707,1,2
68895,0,1
8484,2,0
24399,1,2
978,1,2
71083,1,2
41146,1,2
26977,1,2
58117,1,2
69321,1,2
59310,1,2
58396,1,2
74832,1,2
69272,1,2
45763,1,0
80050,1,2
27740,1,2
35931,1,2
18762,2,2
61442,1,2
26600,2,2
84515,1,2
68358,1,2
58957,1,2
59538,1,0
7235,1,2
62126,1,2
13299,1,2
64149,1,2
48298,1,0
44681,0,2
22356,2,2
57408,2,1
43316,1,2
38259,2,2
64194,0,2
79640,2,2
69439,1,2
52215,1,2
83630,0,2
24119,1,2
34920,1,2
79844,2,2
17914,2,2
7637,1,2
9261,1,0
60704,1,2
64297,1,2
36903,1,2
27802,0,2
17570,1,1
36293,0,2
34355,1,2
12779,1,0
51760,1,2
23962,1,2
36712,1,2
14667,1,0
41769,1,0
61089,1,2
44055,1,2
49083,2,2
36149,1,2
56238,1,2
14393,2,2
12626,2,2
39659,2,2
38568,1,2
12554,1,2
8724,1,2
80095,1,2
35888,2,2
25854,1,1
6655,1,2
50929,1,2
45121,1,2
17648,1,2
28168,1,2
64573,1,0
31411,1,2
12103,1,2
21161,1,2
16743,1,0
46281,1,2
32811,1,2
12980,1,2
55209,2,2
56389,2,2
36409,2,2
45953,1,2
72753,1,2
23475,1,2
64042,1,1
16890,1,2
28850,1,2
46577,1,2
78423,2,2
14232,1,0
81644,1,2
10298,1,2
81933,1,1
73802,1,2
10579,1,2
52536,1,2
73611,0,2
41795,2,2
74666,2,2
77856,2,0
35572,2,2
50537,1,2
26170,1,2
7030,1,0
80363,0,2
30708,1,2
58009,1,2
18189,1,2
19433,1,2
14080,1,2
35920,1,2
51201,0,2
76621,1,2
80903,1,2
42777,2,2
36313,1,0
69166,2,2
62507,0,0
70258,1,2
13370,1,0
9337,1,0
18336,2,2
59376,1,0
25638,1,2
44854,1,0
61926,1,0
39789,2,2
32852,1,2
10886,1,2
6658,1,0
72622,1,2
74683,0,2
23653,1,2
82415,1,2
2984,2,2
20698,1,2
46809,1,2
20820,1,2
37283,2,2
44715,0,2
30232,1,2
63365,1,0
54923,1,2
30336,1,2
55450,0,2
5804,1,0
40412,1,2
16696,1,2
77275,1,2
31408,1,2
83505,2,2
71291,2,1
30605,2,2
19947,1,2
3994,1,2
17003,1,0
25918,1,2
7636,2,2
62227,2,2
5960,1,2
16249,1,2
11627,1,2
53155,1,0
20568,1,2
47380,1,2
10720,1,2
50793,2,2
30311,1,2
42301,1,2
53332,1,0
69540,2,1
58614,1,2
67177,2,2
36376,1,2
39487,1,0
45227,1,2
19241,1,2
18019,1,2
39017,1,1
68045,1,0
28284,0,0
20253,1,2
77906,0,0
71127,1,0
23380,1,2
7072,1,2
83328,1,2
59580,1,2
19501,1,2
60831,2,2
29616,1,2
36055,1,2
9922,1,2
79143,0,2
2235,1,2
6427,1,2
80165,2,2
58653,1,2
69878,1,1
43059,1,2
77384,2,2
46266,1,2
40166,2,0
63723,1,2
29049,1,2
79585,0,2
57452,2,2
50248,1,2
8470,1,2
24758,1,2
78161,1,2
68124,1,2
82900,1,2
68392,1,2
78612,2,2
37805,0,2
1477,2,2
4240,1,2
59419,1,2
45363,1,2
83218,1,1
82324,0,1
18614,0,2
62184,1,2
74507,2,2
80859,1,0
51703,1,2
82151,0,2
5137,1,2
46562,1,2
19573,0,1
2691,2,2
69416,0,2
8318,1,2
27352,1,0
22554,1,1
10632,2,0
59585,1,0
28238,1,2
81240,1,2
27851,1,2
63764,0,2
53213,1,2
33534,2,2
36108,1,2
58641,1,2
53684,1,1
73542,1,2
21143,1,2
67583,1,0
78233,1,2
27970,1,2
36740,0,2
79387,1,0
78953,2,2
19110,1,2
45138,0,2
49616,0,2
10115,1,2
63100,0,0
43454,1,2
9105,0,2
80301,1,1
70852,1,2
70418,0,2
52653,2,0
38094,1,2
67268,1,2
37989,1,0
5525,2,2
8486,2,1
46123,1,2
48405,0,2
80145,2,2
804,1,1
19926,1,2
29851,1,2
80203,1,2
287,1,2
18841,1,2
76514,1,2
48279,0,2
2409,1,2
69683,1,2
15264,1,2
67427,2,0
59489,0,2
64601,2,1
65509,1,2
59883,0,2
25361,2,2
62597,1,2
41925,1,0
817,1,2
6184,1,2
24010,1,2
37668,1,0
80504,0,2
59572,2,1
83806,0,2
19454,2,2
65003,2,2
20711,1,2
81043,1,2
80473,1,2
36418,2,0
16083,1,2
82267,1,2
5850,0,2
1488,1,2
15592,1,2
23396,1,2
22722,1,2
10913,1,2
45895,2,2
73894,2,1
8381,1,2
74188,1,2
21747,1,2
48177,1,2
76620,1,2
26161,1,2
73332,0,2
12294,2,2
1402,1,2
1955,2,2
25747,1,2
53708,1,2
83082,1,1
63136,2,2
73919,1,2
56082,2,2
49611,1,2
63278,1,2
53829,0,0
46360,1,2
81694,1,2
76287,1,2
39208,0,2
3154,1,2
22343,1,2
80348,1,2
29675,1,0
27440,1,2
67794,2,0
55872,1,2
67924,0,2
56565,2,0
5618,0,0
38026,1,2
11087,1,2
58286,1,2
2391,1,2
59106,1,2
61635,1,0
36280,2,1
5769,0,0
53683,1,1
54428,1,2
24062,1,2
4112,0,2
61249,2,1
40652,1,2
33184,1,2
33670,1,2
61970,1,2
79437,1,2
13172,0,2
30328,2,2
30474,1,2
41311,1,2
82675,2,2
16946,1,2
83178,1,2
10123,1,2
34286,1,2
10314,1,0
7540,1,1
7012,1,0
47851,1,2
14692,2,2
30173,0,2
42584,2,0
5670,2,2
40434,1,0
10719,2,2
36583,1,2
57398,1,2
40639,2,2
5849,1,2
83780,0,1
15193,1,0
56676,2,0
67576,0,0
50013,2,2
20221,1,2
46755,2,2
33457,1,2
61607,1,0
23642,1,2
78096,2,2
75560,2,2
10940,0,2
16648,1,2
8739,1,2
64449,1,2
26304,2,2
37693,2,2
43935,1,2
68017,1,2
76513,1,2
30652,1,0
71152,1,2
34327,1,2
18993,2,2
62073,0,2
2368,1,2
29985,1,2
28428,1,0
19244,2,2
72627,1,2
59763,2,0
24545,0,2
47787,1,2
4269,2,2
26710,1,0
7801,1,0
5177,1,2
77493,1,0
63585,1,1
65765,1,2
9788,1,2
41800,1,2
65447,1,0
55469,2,2
39271,1,2
3515,1,2
48950,1,0
75161,1,2
10545,0,2
2485,1,2
16900,0,2
33476,2,2
55786,2,2
3557,1,2
11735,2,0
7792,1,2
64560,1,2
36275,1,2
28480,1,2
55288,1,1
52301,1,2
20612,2,2
30362,2,2
71316,2,2
32118,1,2
83020,1,2
77312,1,2
42555,2,2
60695,1,2
51153,1,2
82252,1,2
27976,1,2
64505,1,2
52151,0,2
