ID,Ground Truth,Predicted Value
18612,1,0
24270,1,0
74480,1,0
6,1,0
38040,1,2
73873,1,0
36228,1,2
73544,1,0
84164,2,0
44549,1,0
83367,1,0
66993,0,0
69437,1,0
14640,2,0
47778,0,0
18336,2,0
1001,1,0
46584,2,0
71376,1,0
59527,2,0
27124,1,0
54027,0,0
57334,2,0
63344,1,0
40087,0,0
56530,1,0
19922,1,0
33801,1,0
65348,2,0
50477,1,0
66772,2,0
14841,1,0
60704,1,0
34133,0,0
41965,0,0
38893,1,0
68592,2,0
77777,0,0
81739,2,0
10861,2,0
68409,1,0
47751,2,0
72875,2,0
74583,1,0
27454,1,0
15062,1,0
40127,1,0
25154,2,0
4456,0,0
22885,1,0
75518,2,0
52719,2,2
53062,2,0
76490,2,1
15157,1,0
4498,1,0
62079,1,0
4130,1,0
18993,2,0
24188,1,0
35127,1,0
54276,1,0
16971,2,0
66712,2,0
59673,1,0
44427,1,0
16112,1,0
77791,2,0
61558,2,0
21725,1,0
64141,1,0
73563,1,0
63035,0,0
13996,1,0
8635,1,0
76653,2,0
40098,1,0
33570,1,0
51619,1,0
12294,2,0
29899,1,0
17777,1,0
34103,1,0
80445,2,0
33663,1,0
24413,1,0
3932,1,0
78187,1,0
83621,0,0
32118,1,0
41748,2,1
49907,1,0
61043,2,0
30500,1,0
77856,2,0
72572,2,0
80248,1,0
78970,1,0
27782,1,0
74326,1,0
23460,1,0
5479,0,0
56129,2,0
49983,1,0
31149,1,0
36421,1,2
64187,0,0
69374,2,0
66110,2,0
74298,1,0
63181,1,0
44060,0,2
35446,1,0
33700,1,0
75678,2,2
79224,1,0
52500,1,0
35330,1,0
49085,1,0
37840,1,0
59686,1,0
61197,1,0
15550,1,0
64840,1,0
75480,1,1
35622,1,0
82784,0,0
59794,0,0
17111,2,0
75185,0,0
11600,1,0
43318,1,0
20678,1,0
62753,1,0
38037,1,0
29460,1,0
69435,1,0
78796,0,0
24062,1,0
40378,2,0
61846,2,0
83049,2,0
28171,0,0
53912,1,0
68211,0,0
27803,1,0
35347,2,0
24247,1,0
54883,1,0
38373,0,0
68003,1,0
73180,2,1
37247,1,0
59265,1,0
62063,1,0
82900,1,0
31039,2,0
65039,2,0
43277,1,0
5060,1,0
6556,1,0
57484,1,0
17334,1,0
35532,1,0
59653,1,0
76963,0,0
62597,1,0
76400,1,0
19360,1,0
61611,1,0
46496,2,0
79454,1,0
45864,2,0
59326,1,0
54456,1,0
22944,1,0
43553,1,0
53249,2,0
14990,1,0
54805,2,0
43294,2,0
8676,1,0
16491,1,0
41739,1,2
72779,1,0
50291,1,0
1664,1,0
817,1,2
76018,1,0
69431,1,0
79387,1,0
22257,1,0
26444,1,0
70121,0,0
21835,1,0
21747,1,0
66838,1,0
61138,1,0
59872,1,0
72866,2,0
20599,1,0
46531,1,0
56690,1,0
36819,1,0
75495,1,0
20976,1,0
712,1,0
83655,1,0
5644,1,0
28238,1,0
11039,1,0
19832,1,0
38007,1,2
20334,2,0
84691,2,0
18269,1,0
73443,0,0
12808,1,0
21492,2,0
74102,1,0
63784,2,0
31074,1,0
50041,1,0
3255,1,0
35468,1,0
47661,1,2
52984,0,0
43473,2,0
50537,1,0
71455,1,0
83299,0,0
26928,0,0
8872,0,1
36075,2,0
34419,1,0
13080,1,0
12463,1,0
53997,0,2
14882,2,0
20912,1,0
74287,2,0
51153,1,0
31436,0,0
73495,2,0
62843,1,0
19110,1,0
41684,1,2
56565,2,0
73484,1,0
55579,0,0
81519,1,0
30748,1,0
5035,1,0
60619,1,0
43621,2,0
6165,1,0
25965,1,0
25378,1,0
37000,1,0
15678,1,0
42861,1,0
16325,1,0
65471,2,0
60121,1,0
23703,1,0
83724,1,0
9136,1,0
7687,1,0
62202,1,0
43926,1,0
64158,1,0
25404,1,0
76162,1,0
34029,1,0
80328,1,0
37506,1,0
35725,1,0
16288,1,0
36418,2,0
1298,1,0
29306,1,0
14393,2,0
44731,0,0
83883,1,0
68983,1,0
30376,2,0
43006,0,0
82987,1,0
29803,1,0
14251,1,0
63808,1,0
42704,1,0
26354,1,0
83210,1,0
79083,1,0
22824,1,0
2313,0,0
39010,1,0
42042,1,0
38536,1,0
72404,1,0
28428,1,0
6864,0,2
61940,1,0
70875,0,0
14541,1,0
70271,1,0
59096,0,0
27844,1,0
64466,2,0
48776,1,0
42374,1,0
44485,1,0
21961,2,0
8333,1,0
83328,1,0
12127,1,0
56057,2,0
52722,1,0
9098,1,0
14031,2,0
60596,2,0
22019,1,0
19976,1,0
31465,1,0
33506,1,0
11471,1,0
69133,2,0
38000,1,0
30372,1,0
72265,2,0
46778,1,0
25753,1,0
5631,1,0
73474,0,0
15577,1,0
76998,0,0
47072,1,0
29860,1,0
50618,2,0
42157,1,0
77386,2,0
43457,1,0
24119,1,0
56501,1,0
82711,1,0
23238,1,0
42517,1,0
22923,2,0
1083,1,0
36275,1,0
68699,2,0
16224,1,0
12525,1,0
40576,1,0
26086,1,0
32128,1,0
68635,1,0
67424,2,0
34033,1,0
39205,1,0
11102,1,0
70049,1,0
31705,1,0
9009,1,0
52532,1,0
64674,2,0
76956,1,0
7030,1,0
30678,1,0
43891,1,0
45138,0,0
33743,1,0
42950,1,0
18517,1,0
24072,1,0
5116,1,0
80127,2,0
1402,1,0
41452,2,0
46728,2,0
55169,0,0
17741,1,0
16620,1,0
24396,2,0
20481,1,0
42784,1,0
60267,1,0
8865,0,0
23475,1,0
14848,2,0
67018,1,0
39271,1,0
72883,2,0
68461,2,0
83874,1,0
58670,1,0
83666,0,0
71719,2,0
11210,2,0
17328,2,0
8082,1,0
30255,1,0
52190,1,0
19926,1,0
35932,1,1
12936,1,0
62042,1,0
40837,1,0
82104,2,0
20474,0,0
26006,0,0
73365,1,0
804,1,0
39085,1,0
73135,1,0
44954,1,0
29237,1,0
62643,1,0
48258,1,0
49039,1,2
29800,1,0
47137,0,0
40124,1,0
63813,2,0
59382,1,0
29848,1,0
55853,1,0
66805,1,0
47124,1,0
39114,2,0
16856,1,0
53384,0,0
176,2,0
43124,1,0
47841,1,0
48950,1,0
82261,1,0
5177,1,0
66493,1,0
48573,0,0
17835,2,0
69108,2,0
38493,1,0
4865,1,0
20079,1,0
60748,0,0
31282,1,0
2585,1,0
70514,1,0
46726,0,0
56983,1,0
38144,1,0
35752,1,0
28391,1,0
19876,1,0
47912,1,0
77445,2,0
30300,1,0
75663,2,1
61951,1,0
80209,1,0
8167,1,0
22154,1,0
35967,1,0
28256,1,0
28498,1,0
43401,1,0
33812,2,0
63163,2,2
24238,2,0
75789,1,0
18337,1,0
62097,0,0
37540,1,0
9484,0,0
4528,2,0
36807,1,0
11663,1,0
78756,1,0
74423,2,0
57101,1,0
2954,1,0
5054,1,0
68302,1,0
80605,1,0
58653,1,0
17433,1,0
5369,1,0
41106,1,0
28787,1,0
73757,2,0
76974,1,0
20346,1,0
67118,2,0
75669,2,0
62663,1,0
66273,1,0
21314,1,0
67813,1,0
1867,1,0
39891,1,0
68341,2,0
77985,2,0
16013,1,0
20610,1,0
36966,1,0
44575,1,0
77048,0,0
11620,1,0
81140,1,0
41927,1,0
54622,1,0
10115,1,0
20763,1,0
60675,1,0
69216,0,0
80973,2,0
27429,1,0
15856,0,0
26502,1,0
34718,1,0
39659,2,0
33956,1,0
13848,1,0
1975,0,0
83675,2,2
76948,0,0
16482,0,0
59518,1,0
14218,2,0
52842,2,0
9115,1,0
36134,2,0
29836,1,0
71735,1,1
23063,1,0
