Epoch 1/1000, Train Loss: 0.1883, Train Accuracy: 0.6943, Train F1: 0.6154, Validation Loss: 0.1655, Validation Accuracy: 0.7455, Validation F1: 0.6831
Epoch 2/1000, Train Loss: 0.1622, Train Accuracy: 0.7580, Train F1: 0.7029, Validation Loss: 0.1514, Validation Accuracy: 0.7748, Validation F1: 0.7329
Epoch 3/1000, Train Loss: 0.1508, Train Accuracy: 0.7804, Train F1: 0.7401, Validation Loss: 0.1406, Validation Accuracy: 0.7925, Validation F1: 0.7605
Epoch 4/1000, Train Loss: 0.1420, Train Accuracy: 0.7980, Train F1: 0.7684, Validation Loss: 0.1323, Validation Accuracy: 0.8126, Validation F1: 0.7899
Epoch 5/1000, Train Loss: 0.1354, Train Accuracy: 0.8111, Train F1: 0.7878, Validation Loss: 0.1254, Validation Accuracy: 0.8260, Validation F1: 0.8075
Epoch 6/1000, Train Loss: 0.1312, Train Accuracy: 0.8189, Train F1: 0.7998, Validation Loss: 0.1209, Validation Accuracy: 0.8331, Validation F1: 0.8168
Epoch 7/1000, Train Loss: 0.1268, Train Accuracy: 0.8244, Train F1: 0.8073, Validation Loss: 0.1173, Validation Accuracy: 0.8419, Validation F1: 0.8284
Epoch 8/1000, Train Loss: 0.1246, Train Accuracy: 0.8294, Train F1: 0.8141, Validation Loss: 0.1142, Validation Accuracy: 0.8436, Validation F1: 0.8306
Epoch 9/1000, Train Loss: 0.1211, Train Accuracy: 0.8340, Train F1: 0.8199, Validation Loss: 0.1121, Validation Accuracy: 0.8495, Validation F1: 0.8385
Epoch 10/1000, Train Loss: 0.1191, Train Accuracy: 0.8326, Train F1: 0.8191, Validation Loss: 0.1105, Validation Accuracy: 0.8520, Validation F1: 0.8417
Epoch 11/1000, Train Loss: 0.1170, Train Accuracy: 0.8385, Train F1: 0.8259, Validation Loss: 0.1091, Validation Accuracy: 0.8537, Validation F1: 0.8443
Epoch 12/1000, Train Loss: 0.1145, Train Accuracy: 0.8419, Train F1: 0.8300, Validation Loss: 0.1070, Validation Accuracy: 0.8570, Validation F1: 0.8474
Epoch 13/1000, Train Loss: 0.1141, Train Accuracy: 0.8407, Train F1: 0.8284, Validation Loss: 0.1068, Validation Accuracy: 0.8612, Validation F1: 0.8529
Epoch 14/1000, Train Loss: 0.1126, Train Accuracy: 0.8452, Train F1: 0.8339, Validation Loss: 0.1053, Validation Accuracy: 0.8587, Validation F1: 0.8495
Epoch 15/1000, Train Loss: 0.1118, Train Accuracy: 0.8441, Train F1: 0.8330, Validation Loss: 0.1044, Validation Accuracy: 0.8616, Validation F1: 0.8534
Epoch 16/1000, Train Loss: 0.1118, Train Accuracy: 0.8437, Train F1: 0.8320, Validation Loss: 0.1047, Validation Accuracy: 0.8608, Validation F1: 0.8528
Epoch 17/1000, Train Loss: 0.1096, Train Accuracy: 0.8483, Train F1: 0.8375, Validation Loss: 0.1025, Validation Accuracy: 0.8621, Validation F1: 0.8535
Epoch 18/1000, Train Loss: 0.1088, Train Accuracy: 0.8503, Train F1: 0.8398, Validation Loss: 0.1026, Validation Accuracy: 0.8600, Validation F1: 0.8523
Epoch 19/1000, Train Loss: 0.1094, Train Accuracy: 0.8476, Train F1: 0.8369, Validation Loss: 0.1017, Validation Accuracy: 0.8633, Validation F1: 0.8553
Epoch 20/1000, Train Loss: 0.1065, Train Accuracy: 0.8550, Train F1: 0.8449, Validation Loss: 0.1009, Validation Accuracy: 0.8625, Validation F1: 0.8544
Epoch 21/1000, Train Loss: 0.1067, Train Accuracy: 0.8523, Train F1: 0.8423, Validation Loss: 0.1003, Validation Accuracy: 0.8650, Validation F1: 0.8573
Epoch 22/1000, Train Loss: 0.1068, Train Accuracy: 0.8507, Train F1: 0.8406, Validation Loss: 0.1004, Validation Accuracy: 0.8658, Validation F1: 0.8591
Epoch 23/1000, Train Loss: 0.1067, Train Accuracy: 0.8517, Train F1: 0.8418, Validation Loss: 0.0999, Validation Accuracy: 0.8679, Validation F1: 0.8614
Epoch 24/1000, Train Loss: 0.1055, Train Accuracy: 0.8548, Train F1: 0.8449, Validation Loss: 0.0986, Validation Accuracy: 0.8679, Validation F1: 0.8609
Epoch 25/1000, Train Loss: 0.1042, Train Accuracy: 0.8564, Train F1: 0.8467, Validation Loss: 0.0984, Validation Accuracy: 0.8688, Validation F1: 0.8620
Epoch 26/1000, Train Loss: 0.1048, Train Accuracy: 0.8550, Train F1: 0.8455, Validation Loss: 0.0987, Validation Accuracy: 0.8675, Validation F1: 0.8608
Epoch 27/1000, Train Loss: 0.1031, Train Accuracy: 0.8591, Train F1: 0.8498, Validation Loss: 0.0972, Validation Accuracy: 0.8658, Validation F1: 0.8583
Epoch 28/1000, Train Loss: 0.1033, Train Accuracy: 0.8548, Train F1: 0.8457, Validation Loss: 0.0972, Validation Accuracy: 0.8683, Validation F1: 0.8615
Epoch 29/1000, Train Loss: 0.1037, Train Accuracy: 0.8561, Train F1: 0.8469, Validation Loss: 0.0966, Validation Accuracy: 0.8671, Validation F1: 0.8600
Epoch 30/1000, Train Loss: 0.1031, Train Accuracy: 0.8566, Train F1: 0.8470, Validation Loss: 0.0962, Validation Accuracy: 0.8692, Validation F1: 0.8624
Epoch 31/1000, Train Loss: 0.1025, Train Accuracy: 0.8586, Train F1: 0.8495, Validation Loss: 0.0962, Validation Accuracy: 0.8700, Validation F1: 0.8636
Epoch 32/1000, Train Loss: 0.1015, Train Accuracy: 0.8602, Train F1: 0.8510, Validation Loss: 0.0958, Validation Accuracy: 0.8700, Validation F1: 0.8633
Epoch 33/1000, Train Loss: 0.1017, Train Accuracy: 0.8585, Train F1: 0.8494, Validation Loss: 0.0953, Validation Accuracy: 0.8717, Validation F1: 0.8653
Epoch 34/1000, Train Loss: 0.1013, Train Accuracy: 0.8602, Train F1: 0.8512, Validation Loss: 0.0946, Validation Accuracy: 0.8717, Validation F1: 0.8654
Epoch 35/1000, Train Loss: 0.1003, Train Accuracy: 0.8607, Train F1: 0.8517, Validation Loss: 0.0949, Validation Accuracy: 0.8725, Validation F1: 0.8665
