Epoch 1/100, Train Loss: 0.6043, Train Accuracy: 0.7794, Train F1: 0.7467, Validation Loss: 0.5866, Validation Accuracy: 0.7748, Validation F1: 0.7313
Epoch 2/100, Train Loss: 0.5149, Train Accuracy: 0.8175, Train F1: 0.7989, Validation Loss: 0.5454, Validation Accuracy: 0.8010, Validation F1: 0.7737
Epoch 3/100, Train Loss: 0.4904, Train Accuracy: 0.8270, Train F1: 0.8113, Validation Loss: 0.5291, Validation Accuracy: 0.8041, Validation F1: 0.7769
Epoch 4/100, Train Loss: 0.4698, Train Accuracy: 0.8338, Train F1: 0.8197, Validation Loss: 0.5239, Validation Accuracy: 0.8119, Validation F1: 0.7876
Epoch 5/100, Train Loss: 0.4623, Train Accuracy: 0.8366, Train F1: 0.8234, Validation Loss: 0.4880, Validation Accuracy: 0.8180, Validation F1: 0.7984
Epoch 6/100, Train Loss: 0.4513, Train Accuracy: 0.8413, Train F1: 0.8289, Validation Loss: 0.4874, Validation Accuracy: 0.8199, Validation F1: 0.8018
Epoch 7/100, Train Loss: 0.4446, Train Accuracy: 0.8442, Train F1: 0.8322, Validation Loss: 0.4839, Validation Accuracy: 0.8244, Validation F1: 0.8053
Epoch 8/100, Train Loss: 0.4378, Train Accuracy: 0.8447, Train F1: 0.8332, Validation Loss: 0.4712, Validation Accuracy: 0.8253, Validation F1: 0.8091
Epoch 9/100, Train Loss: 0.4335, Train Accuracy: 0.8464, Train F1: 0.8351, Validation Loss: 0.4657, Validation Accuracy: 0.8329, Validation F1: 0.8146
Epoch 10/100, Train Loss: 0.4286, Train Accuracy: 0.8485, Train F1: 0.8377, Validation Loss: 0.4633, Validation Accuracy: 0.8317, Validation F1: 0.8153
Epoch 11/100, Train Loss: 0.4245, Train Accuracy: 0.8501, Train F1: 0.8394, Validation Loss: 0.4613, Validation Accuracy: 0.8345, Validation F1: 0.8171
Epoch 12/100, Train Loss: 0.4168, Train Accuracy: 0.8520, Train F1: 0.8420, Validation Loss: 0.4568, Validation Accuracy: 0.8333, Validation F1: 0.8172
Epoch 13/100, Train Loss: 0.4164, Train Accuracy: 0.8540, Train F1: 0.8441, Validation Loss: 0.4564, Validation Accuracy: 0.8347, Validation F1: 0.8200
Epoch 14/100, Train Loss: 0.4128, Train Accuracy: 0.8542, Train F1: 0.8446, Validation Loss: 0.4445, Validation Accuracy: 0.8421, Validation F1: 0.8322
Epoch 15/100, Train Loss: 0.4080, Train Accuracy: 0.8572, Train F1: 0.8477, Validation Loss: 0.4466, Validation Accuracy: 0.8366, Validation F1: 0.8213
