ID,Ground Truth,Predicted Value
31436,0,0
26201,2,2
1046,1,1
80944,0,0
72832,1,1
4737,2,2
50531,0,0
15814,1,1
65074,2,2
42461,1,1
49945,1,1
69775,2,2
43336,2,2
63821,1,2
80474,1,1
28270,1,1
80388,1,1
26390,1,1
34574,2,2
66848,2,2
60619,1,1
24316,2,2
70068,2,1
61259,1,1
6601,2,1
64828,1,1
68821,1,1
59974,1,1
50307,2,2
64787,2,2
75300,1,1
12600,1,1
40407,1,1
41645,1,1
50785,1,1
74773,0,0
61197,1,1
64816,1,1
78796,0,2
53965,1,1
19146,0,1
64279,0,2
46665,1,1
41508,1,1
33723,0,0
8402,1,1
33964,2,2
9147,0,1
30147,1,1
2870,1,1
3861,1,1
11214,1,1
37399,1,1
56279,1,1
40883,1,1
54088,1,1
63490,1,1
3346,1,1
56758,1,1
22707,1,1
56202,1,1
73985,1,1
76078,0,0
6978,1,1
72749,2,2
37867,1,1
68489,1,1
45451,1,1
63357,0,0
36582,1,1
71601,1,1
78183,1,1
56223,1,1
79468,2,2
23555,1,1
75726,1,1
23834,1,1
69149,2,1
76400,1,1
83010,1,1
35922,1,1
70501,2,2
67432,1,1
27782,1,1
46078,1,1
47712,1,1
50563,2,1
59326,1,1
72299,1,1
71206,1,1
8940,1,1
61135,2,2
47438,2,0
78296,2,2
49472,1,1
52138,2,2
62031,1,1
9136,1,1
60961,1,2
55583,1,1
45458,2,1
41771,1,1
70065,1,1
82926,1,1
3705,1,1
7426,1,1
56144,1,1
81684,1,1
27621,0,0
46818,1,1
8720,1,1
58989,1,2
50111,1,1
65188,1,1
70273,1,1
6787,0,2
6240,0,1
30414,1,1
29354,1,2
18182,2,0
14876,2,2
81750,2,2
69870,2,2
14841,1,1
36259,1,1
73443,0,0
1249,1,2
32458,1,1
68006,2,2
69239,2,2
8626,1,1
67971,1,1
39716,1,1
52379,1,1
23773,1,2
22885,1,1
68146,1,1
15393,2,1
75470,0,0
57055,1,1
79540,2,2
27168,1,1
18826,1,1
61678,2,2
67087,0,1
31290,2,2
50420,1,1
66298,0,0
80823,2,1
12161,2,2
51221,2,2
48451,1,1
39155,1,1
23944,1,1
84129,1,1
