ID,Ground Truth,Predicted Value
18612,1,1
24270,1,1
74480,1,1
6,1,1
38040,1,1
73873,1,1
36228,1,1
73544,1,1
84164,2,2
44549,1,1
83367,1,1
66993,0,0
69437,1,1
14640,2,1
47778,0,1
18336,2,1
1001,1,1
46584,2,2
71376,1,1
59527,2,2
27124,1,1
54027,0,0
57334,2,2
63344,1,1
40087,0,1
56530,1,1
19922,1,1
33801,1,1
65348,2,1
50477,1,1
66772,2,2
14841,1,1
60704,1,1
34133,0,2
41965,0,0
38893,1,1
68592,2,2
77777,0,0
81739,2,2
10861,2,2
68409,1,1
47751,2,2
72875,2,2
74583,1,1
27454,1,1
15062,1,1
40127,1,1
25154,2,1
4456,0,0
22885,1,1
75518,2,2
52719,2,2
53062,2,2
76490,2,2
15157,1,2
4498,1,1
62079,1,2
4130,1,1
18993,2,2
24188,1,1
35127,1,1
54276,1,1
16971,2,1
66712,2,2
59673,1,1
44427,1,1
16112,1,1
77791,2,1
61558,2,1
21725,1,1
64141,1,1
73563,1,1
63035,0,0
13996,1,1
8635,1,1
76653,2,2
40098,1,1
33570,1,1
51619,1,1
12294,2,2
29899,1,1
17777,1,1
34103,1,1
80445,2,2
33663,1,1
24413,1,1
3932,1,1
78187,1,1
83621,0,1
32118,1,1
41748,2,1
49907,1,1
61043,2,2
30500,1,1
77856,2,2
72572,2,2
80248,1,1
78970,1,1
27782,1,1
74326,1,1
23460,1,1
5479,0,0
56129,2,1
49983,1,1
31149,1,1
36421,1,1
64187,0,0
69374,2,1
66110,2,0
74298,1,1
63181,1,1
44060,0,0
35446,1,1
33700,1,1
75678,2,2
79224,1,1
52500,1,1
35330,1,1
49085,1,1
37840,1,1
59686,1,1
61197,1,1
15550,1,1
64840,1,1
75480,1,1
35622,1,1
82784,0,0
59794,0,0
17111,2,2
75185,0,1
11600,1,1
43318,1,0
20678,1,1
62753,1,1
38037,1,1
29460,1,2
69435,1,1
78796,0,2
24062,1,1
40378,2,2
61846,2,2
83049,2,1
28171,0,1
53912,1,1
68211,0,0
27803,1,1
35347,2,2
24247,1,1
54883,1,1
38373,0,0
68003,1,1
73180,2,2
37247,1,1
59265,1,1
62063,1,1
82900,1,1
31039,2,2
65039,2,2
43277,1,1
5060,1,1
6556,1,1
57484,1,1
17334,1,1
35532,1,1
59653,1,2
76963,0,0
62597,1,1
76400,1,1
19360,1,2
61611,1,1
46496,2,1
79454,1,1
45864,2,2
59326,1,1
54456,1,1
22944,1,1
43553,1,1
53249,2,2
14990,1,1
54805,2,2
43294,2,2
8676,1,1
16491,1,1
41739,1,1
72779,1,1
50291,1,1
1664,1,1
817,1,1
76018,1,1
69431,1,1
79387,1,1
22257,1,1
26444,1,1
70121,0,1
21835,1,1
21747,1,1
66838,1,1
61138,1,1
59872,1,1
72866,2,2
20599,1,1
46531,1,1
56690,1,1
36819,1,1
75495,1,2
