"","ID","BldType_True","BldType_Pred","FA_True_scaled","FA_Pred_scaled","FA_True","FA_Pred"
"1",6,1,1,-0.388362652232747,0.335112690925598,85.192051,134.86248002622
"2",14,0,0,-1.62922868741543,-1.54538178443909,0,5.7565357033088
"3",15,2,1,0.579161028416779,0.272502094507217,151.617696,130.563929681557
"4",19,1,1,0.410013531799729,-0.332573264837265,140.004821,89.0222890768726
"5",20,1,1,0.0351826792963465,0.0816065818071365,114.27069,117.457937743255
"6",22,1,1,0.22192151556157,0.193825110793114,127.091304,125.162336424061
"7",23,1,1,-0.113667117726658,-0.430766850709915,104.05136,82.2807773114191
"8",24,1,1,-0.109607577807848,-0.226761251688004,104.330069,96.2868463820433
"9",26,1,1,0.297699594046008,1.06459009647369,132.293872,184.944982548462
"10",29,1,1,0.189445196211096,0.169775277376175,124.861632,123.511187487024
"11",30,2,2,-0.427604871447902,-0.0134076215326786,82.497864,110.934707493458
"12",32,0,0,-1.62922868741543,-0.483249694108963,0,78.6775510607961
"13",33,1,1,-0.351826792963464,0.129585146903992,87.700432,120.751921339185
"14",34,1,1,0.403247631935047,-0.287962794303894,139.540306,92.0850350728604
"15",43,0,2,-1.62922868741543,-0.814597487449646,0,55.928763271741
"16",47,1,1,-0.189445196211096,0.398047238588333,98.848792,139.183271346257
"17",49,1,1,-0.622462787550744,-0.131973907351494,69.119832,102.794501555055
"18",57,1,1,-0.102841677943166,-0.22067303955555,104.794584,96.7048345159602
"19",60,2,1,1.01217861975643,0.586921989917755,181.346656,152.150527272074
"20",61,0,0,-1.62922868741543,-1.0051189661026,0,42.8484507595137
"21",63,1,1,-0.265223274695534,0.731283247470856,93.646224,162.061695171901
"22",67,1,1,-0.395128552097429,0.181141301989555,84.727536,124.291525509886
"23",70,2,1,0.156968876860623,0.0313866697251797,122.63196,114.010073759557
"24",71,1,1,0.156968876860623,-0.0248335227370262,122.63196,110.150258624263
"25",72,1,1,0.0013531799729365,0.291972309350967,111.948115,131.900663453713
"26",79,1,1,-0.0649526387009472,0.0253897197544575,107.395868,113.598351258283
"27",83,1,1,0,0.594996094703674,111.855212,152.704857495643
"28",89,1,1,1.70500676589986,0.590426087379456,228.912992,152.391102194106
"29",90,0,1,-1.62922868741543,-1.38063716888428,0,17.0671295082674
"30",95,1,1,1.63734776725304,1.23703134059906,224.267842,196.783990827763
"31",101,1,1,0.174560216508796,0.522267997264862,123.839699,147.711686911174
"32",104,0,2,-1.62922868741543,-0.509322941303253,0,76.8874840094527
"33",109,1,1,-0.156968876860622,0.0214629732072353,101.078464,113.328759229305
"34",120,1,1,1.30987821380244,0.873246967792511,201.785316,171.808259393084
"35",124,2,2,-1.62922868741543,0.0198262222111225,0,113.216387570817
"36",128,1,1,0.105548037889039,0.658020675182343,119.101646,157.031830047198
"37",141,2,1,-1.62922868741543,-0.73725438117981,0,61.2387787504613
"38",146,1,1,-0.00270635994587279,-0.119266733527184,111.669406,103.666916602137
"39",152,1,1,-0.446549391069012,0.00258376868441701,81.197222,112.032601458083
"40",172,1,1,-0.0852503382949931,-0.158704236149788,106.002323,100.959322357893
"41",176,2,2,-0.648173207036536,0.54075813293457,67.354675,148.981133036951
"42",178,1,1,0.197564276048714,-0.409972727298737,125.41905,83.7084044459507
"43",180,0,0,-1.62922868741543,-1.10247409343719,0,36.1645036307818
"44",181,1,1,-0.0595399188092014,0.103206053376198,107.76748,118.940856310862
"45",210,1,1,-0.0974289580514208,-0.256109863519669,105.166196,94.2719081332304
"46",220,1,1,0.156968876860623,0.120465666055679,122.63196,120.125820490669
"47",228,1,1,-0.25169147496617,-0.188580647110939,94.575254,98.9081478925333
"48",229,1,1,0.189445196211096,0.500064492225647,124.861632,146.187298234196
"49",234,1,1,-0.0771312584573747,0.135623887181282,106.559741,121.166512967203
"50",246,1,1,0.143437077131258,-0.231715455651283,121.70293,95.9467139384617
"51",251,1,1,0.22192151556157,0.261222511529922,127.091304,129.789526336623
"52",253,1,1,-0.581867388362652,0.806058585643768,71.906922,167.195419717945
"53",279,1,1,0.470906630581867,0.439736992120743,144.185456,142.045494590676
"54",280,2,1,-0.45466847090663,0.413064479827881,80.639804,140.214284804023
"55",285,2,1,0.374830852503383,-0.136312767863274,137.589343,102.4966157112
"56",287,1,1,0.626522327469553,0.0519545041024685,154.869301,115.422164948733
"57",290,1,1,1.00135317997294,0.651179254055023,180.603432,156.562130110971
"58",319,1,1,0.56021650879567,-0.247678771615028,150.317054,94.8507474205996
"59",324,1,1,1.1447902571042,0.293585389852524,190.45115,132.011410006894
"60",331,1,1,-0.232746955345061,0.0815230086445808,95.875896,117.452200001287
"61",334,1,1,0.936400541271989,0.958854973316193,176.144088,177.68570415005
"62",344,1,1,0.871447902571042,0.0891647636890411,171.684744,117.976847116301
"63",346,1,1,-0.257104194857916,0.482427358627319,94.203642,144.976415236031
"64",355,1,1,0.59404600811908,0.581580340862274,152.639629,151.783794662867
"65",375,1,1,-0.0838971583220568,0.130428299307823,106.095226,120.809808234749
"66",386,0,1,-1.62922868741543,-0.323978960514069,0,89.6123337645761
"67",390,2,1,-1.62922868741543,0.127346560359001,0,120.598230470307
"68",394,2,1,1.58051420838972,0.310701102018356,220.365916,133.18649465132
"69",401,0,1,-1.62922868741543,-0.44184672832489,0,81.5200848014418
"70",412,2,1,0.88362652232747,0.493273466825485,172.520871,145.721058232593
"71",414,1,1,0.261163734776725,-0.578133761882782,129.785491,72.1632553095351
"72",419,1,1,0.0730717185385656,0.26180425286293,116.871974,129.829465972253
"73",422,1,1,-0.426251691474966,0.0241969786584377,82.590767,113.516463240237
"74",425,1,1,-0.395128552097429,-0.585228443145752,84.727536,71.6761677184119
"75",426,1,1,0.469553450608931,0.75965416431427,144.092553,164.009509461366
"76",428,1,1,0.650879566982408,1.27941334247589,156.541555,199.693740601712
"77",443,2,1,0.102841677943167,0.457765311002731,118.91584,143.283234538496
"78",445,1,1,-0.598105548037889,-0.182654842734337,70.792086,99.314985870489
"79",461,2,1,0.427604871447903,-0.403560310602188,141.21256,84.1486509469883
"80",463,1,1,0.00541271989174559,-0.00441170064732432,112.226824,111.552325293549
"81",472,1,1,-0.427604871447902,0.133722975850105,82.497864,121.036005297172
